parameter,Total area (m2)
1995/01/03 14:00:00,1.122831,4.417571
1995/01/03 15:00:00,1.123156,4.534581
1995/01/03 16:00:00,1.123348,4.600043
1995/01/03 17:00:00,1.123459,4.636848
1995/01/03 18:00:00,1.123522,4.657536
1995/01/03 19:00:00,1.123557,4.669160
1995/01/03 20:00:00,1.123577,4.675690
1995/01/03 21:00:00,1.123589,4.679358
1995/01/03 22:00:00,1.123595,4.681419
1995/01/03 23:00:00,1.123598,4.682576
1995/01/04 00:00:00,1.123600,4.683226
1995/01/04 01:00:00,1.123576,4.683473
1995/01/04 02:00:00,1.123577,4.683609
1995/01/04 03:00:00,1.123577,4.683686
1995/01/04 04:00:00,1.123577,4.683729
1995/01/04 05:00:00,1.123577,4.683753
1995/01/04 06:00:00,1.123577,4.683767
1995/01/04 07:00:00,1.123577,4.683775
1995/01/04 08:00:00,1.123577,4.683779
1995/01/04 09:00:00,1.123577,4.683782
1995/01/04 10:00:00,1.123577,4.683784
1995/01/04 11:00:00,1.123577,4.683784
1995/01/04 12:00:00,1.123577,4.683785
1995/01/04 13:00:00,1.123577,4.683785
1995/01/04 14:00:00,1.123577,4.683785
1995/01/04 15:00:00,1.123577,4.683786
1995/01/04 16:00:00,1.123577,4.683786
1995/01/04 17:00:00,1.123577,4.683786
1995/01/04 18:00:00,1.123577,4.683787
1995/01/04 19:00:00,1.123577,4.683787
1995/01/04 20:00:00,1.123577,4.683787
1995/01/04 21:00:00,1.123577,4.683787
1995/01/04 22:00:00,1.123577,4.683788
1995/01/04 23:00:00,1.123577,4.683788
1995/01/05 00:00:00,1.123577,4.683788
1995/01/05 01:00:00,1.123577,4.683788
1995/01/05 02:00:00,1.123577,4.683788
1995/01/05 03:00:00,1.123577,4.683789
1995/01/05 04:00:00,1.123577,4.683789
1995/01/05 05:00:00,1.123577,4.683789
1995/01/05 06:00:00,1.123577,4.683789
1995/01/05 07:00:00,1.123577,4.683790
1995/01/05 08:00:00,1.123577,4.683790
1995/01/05 09:00:00,1.123577,4.683790
1995/01/05 10:00:00,1.123577,4.683790
1995/01/05 11:00:00,1.123577,4.683790
1995/01/05 12:00:00,1.123577,4.683790
1995/01/05 13:00:00,1.123577,4.683790
1995/01/05 14:00:00,1.123577,4.683791
1995/01/05 15:00:00,1.123577,4.683791
1995/01/05 16:00:00,1.123577,4.683791
1995/01/05 17:00:00,1.123577,4.683791
1995/01/05 18:00:00,1.123577,4.683791
1995/01/05 19:00:00,1.123577,4.683791
1995/01/05 20:00:00,1.123577,4.683792
1995/01/05 21:00:00,1.123577,4.683792
1995/01/05 22:00:00,1.123577,4.683792
1995/01/05 23:00:00,1.123577,4.683792
1995/01/06 00:00:00,1.123577,4.683792
1995/01/06 01:00:00,1.123577,4.683793
1995/01/06 02:00:00,1.123577,4.683793
1995/01/06 03:00:00,1.123577,4.683793
1995/01/06 04:00:00,1.123577,4.683793
1995/01/06 05:00:00,1.123577,4.683793
1995/01/06 06:00:00,1.123577,4.683793
1995/01/06 07:00:00,1.123577,4.683794
1995/01/06 08:00:00,1.123577,4.683794
1995/01/06 09:00:00,1.123577,4.683794
1995/01/06 10:00:00,1.123577,4.683794
1995/01/06 11:00:00,1.123577,4.683794
1995/01/06 12:00:00,1.123579,4.683977
1995/01/06 13:00:00,1.123578,4.684019
1995/01/06 14:00:00,1.123578,4.683928
1995/01/06 15:00:00,1.123578,4.683867
1995/01/06 16:00:00,1.123578,4.683832
1995/01/06 17:00:00,1.123577,4.683812
1995/01/06 18:00:00,1.123577,4.683801
1995/01/06 19:00:00,1.123577,4.683795
1995/01/06 20:00:00,1.123577,4.683792
1995/01/06 21:00:00,1.123577,4.683790
1995/01/06 22:00:00,1.123577,4.683789
1995/01/06 23:00:00,1.123577,4.683789
1995/01/07 00:00:00,1.123577,4.683789
1995/01/07 01:00:00,1.123577,4.683789
1995/01/07 02:00:00,1.123577,4.683789
1995/01/07 03:00:00,1.123577,4.683789
1995/01/07 04:00:00,1.123577,4.683789
1995/01/07 05:00:00,1.123577,4.683789
1995/01/07 06:00:00,1.123577,4.683790
1995/01/07 07:00:00,1.123577,4.683790
1995/01/07 08:00:00,1.123577,4.683790
1995/01/07 09:00:00,1.123577,4.683790
1995/01/07 10:00:00,1.123577,4.683790
1995/01/07 11:00:00,1.123577,4.683790
1995/01/07 12:00:00,1.123577,4.683791
1995/01/07 13:00:00,1.123577,4.683791
1995/01/07 14:00:00,1.123577,4.683791
1995/01/07 15:00:00,1.123577,4.683791
1995/01/07 16:00:00,1.123577,4.683791
1995/01/07 17:00:00,1.123577,4.683791
1995/01/07 18:00:00,1.123577,4.683792
1995/01/07 19:00:00,1.123577,4.683792
1995/01/07 20:00:00,1.123577,4.683792
1995/01/07 21:00:00,1.123577,4.683792
1995/01/07 22:00:00,1.123577,4.683792
1995/01/07 23:00:00,1.123577,4.683792
1995/01/08 00:00:00,1.123577,4.683793
1995/01/08 01:00:00,0.4785722,4.472167
1995/01/08 02:00:00,0.8658244E-01,4.091721
1995/01/08 03:00:00,0.7885990E-03,3.783670
1995/01/08 04:00:00,0.4708673E-04,3.580276
1995/01/08 05:00:00,0.2639647E-04,3.438672
1995/01/08 06:00:00,0.5416514E-04,3.331527
1995/01/08 07:00:00,0.2485292E-04,3.244820
1995/01/08 08:00:00,0.3554707E-04,3.171287
1995/01/08 09:00:00,0.6008837E-05,3.106114
1995/01/08 10:00:00,0.5261516E-04,3.047904
1995/01/08 11:00:00,0.1992673E-04,2.996317
1995/01/08 12:00:00,0.2493653E-04,2.950134
1995/01/08 13:00:00,0.5065325E-04,2.925069
1995/01/08 14:00:00,0.2569219E-04,2.919004
1995/01/08 15:00:00,0.5183323E-04,2.917572
1995/01/08 16:00:00,0.2664192E-04,2.917238
1995/01/08 17:00:00,0.5260909E-04,2.917159
1995/01/08 18:00:00,0.2794064E-04,2.917141
1995/01/08 19:00:00,0.5366594E-04,2.917137
1995/01/08 20:00:00,0.2882978E-04,2.917136
1995/01/08 21:00:00,0.5438525E-04,2.917135
1995/01/08 22:00:00,0.3004773E-04,2.917135
1995/01/08 23:00:00,0.5536353E-04,2.917135
1995/01/09 00:00:00,0.3087999E-04,2.917135
1995/01/09 01:00:00,0.3282227E-02,2.917176
1995/01/09 02:00:00,0.6898604E-02,2.917186
1995/01/09 03:00:00,0.4235729E-02,2.917188
1995/01/09 04:00:00,0.1716621E-02,2.917212
1995/01/09 05:00:00,0.5342350E-02,2.917195
1995/01/09 06:00:00,0.8965239E-02,2.917191
1995/01/09 07:00:00,0.1176806E-02,2.917218
1995/01/09 08:00:00,0.3779617E-02,2.917201
1995/01/09 09:00:00,0.7403588E-02,2.917192
1995/01/09 10:00:00,0.2577760E-02,2.917217
1995/01/09 11:00:00,0.2216240E-02,2.917209
1995/01/09 12:00:00,0.5841475E-02,2.917194
1995/01/09 13:00:00,0.9464032E-02,2.917190
1995/01/09 14:00:00,0.1052606E-02,2.917216
1995/01/09 15:00:00,0.4278888E-02,2.917198
1995/01/09 16:00:00,0.7902502E-02,2.917191
1995/01/09 17:00:00,0.1848864E-02,2.917221
1995/01/09 18:00:00,0.2715737E-02,2.917207
1995/01/09 19:00:00,0.6340533E-02,2.917193
1995/01/09 20:00:00,0.9962762E-02,2.917190
1995/01/09 21:00:00,0.1151676E-02,2.917214
1995/01/09 22:00:00,0.4778102E-02,2.917197
1995/01/09 23:00:00,0.8401372E-02,2.917191
1995/01/10 00:00:00,0.1434313E-02,2.917220
1995/01/10 01:00:00,0.1693751E-02,2.917197
1995/01/10 02:00:00,0.2470482E-02,2.917191
1995/01/10 03:00:00,0.3246708E-02,2.917190
1995/01/10 04:00:00,0.4022459E-02,2.917189
1995/01/10 05:00:00,0.4797732E-02,2.917189
1995/01/10 06:00:00,0.5572524E-02,2.916790
1995/01/10 07:00:00,0.6346833E-02,2.915904
1995/01/10 08:00:00,0.7120658E-02,2.914672
1995/01/10 09:00:00,0.7893996E-02,2.913176
1995/01/10 10:00:00,0.8666847E-02,2.911517
1995/01/10 11:00:00,0.9439209E-02,2.909854
1995/01/10 12:00:00,0.3466507E-02,2.908211
1995/01/10 13:00:00,0.1514346E-02,2.906595
1995/01/10 14:00:00,0.2291268E-02,2.905008
1995/01/10 15:00:00,0.3067605E-02,2.903449
1995/01/10 16:00:00,0.3843466E-02,2.901917
1995/01/10 17:00:00,0.4618849E-02,2.900414
1995/01/10 18:00:00,0.5393753E-02,2.898939
1995/01/10 19:00:00,0.6168174E-02,2.897491
1995/01/10 20:00:00,0.6942110E-02,2.896070
1995/01/10 21:00:00,0.7715561E-02,2.894677
1995/01/10 22:00:00,0.8488525E-02,2.893310
1995/01/10 23:00:00,0.9261000E-02,2.891969
1995/01/11 00:00:00,0.1003299E-01,2.890655
1995/01/11 01:00:00,0.1343829E-02,2.890351
1995/01/11 02:00:00,0.2170867E-02,2.890275
1995/01/11 03:00:00,0.2997128E-02,2.890257
1995/01/11 04:00:00,0.3822876E-02,2.890252
1995/01/11 05:00:00,0.4648115E-02,2.890251
1995/01/11 06:00:00,0.5472842E-02,2.890250
1995/01/11 07:00:00,0.6297055E-02,2.890250
1995/01/11 08:00:00,0.7120751E-02,2.890250
1995/01/11 09:00:00,0.7943930E-02,2.890250
1995/01/11 10:00:00,0.8766591E-02,2.890250
1995/01/11 11:00:00,0.9588731E-02,2.890250
1995/01/11 12:00:00,0.1422072E-02,2.890281
1995/01/11 13:00:00,0.1724306E-02,2.890260
1995/01/11 14:00:00,0.2550881E-02,2.890253
1995/01/11 15:00:00,0.3376904E-02,2.890251
1995/01/11 16:00:00,0.4202418E-02,2.890250
1995/01/11 17:00:00,0.5027422E-02,2.890250
1995/01/11 18:00:00,0.5851913E-02,2.890250
1995/01/11 19:00:00,0.6675889E-02,2.890250
1995/01/11 20:00:00,0.7499347E-02,2.890250
1995/01/11 21:00:00,0.8322288E-02,2.890250
1995/01/11 22:00:00,0.9144709E-02,2.890250
1995/01/11 23:00:00,0.9966610E-02,2.890250
1995/01/12 00:00:00,0.1274397E-02,2.890250
1995/01/12 01:00:00,0.2103878E-02,2.890250
1995/01/12 02:00:00,0.2932728E-02,2.890250
1995/01/12 03:00:00,0.3761066E-02,2.890250
1995/01/12 04:00:00,0.4588894E-02,2.890250
1995/01/12 05:00:00,0.5416209E-02,2.890250
1995/01/12 06:00:00,0.6243008E-02,2.890250
1995/01/12 07:00:00,0.7069289E-02,2.890250
1995/01/12 08:00:00,0.7895051E-02,2.890250
1995/01/12 09:00:00,0.8720292E-02,2.890250
1995/01/12 10:00:00,0.9545011E-02,2.890250
1995/01/12 11:00:00,0.1723524E-02,2.890250
1995/01/12 12:00:00,0.1682358E-02,2.890250
1995/01/12 13:00:00,0.2511521E-02,2.890250
1995/01/12 14:00:00,0.3340120E-02,2.890250
1995/01/12 15:00:00,0.4168207E-02,2.890250
1995/01/12 16:00:00,0.4995783E-02,2.890250
1995/01/12 17:00:00,0.5822845E-02,2.890250
1995/01/12 18:00:00,0.6649389E-02,2.890250
1995/01/12 19:00:00,0.7475415E-02,2.890250
1995/01/12 20:00:00,0.8300921E-02,2.890250
1995/01/12 21:00:00,0.9125906E-02,2.890250
1995/01/12 22:00:00,0.9950369E-02,2.890250
1995/01/12 23:00:00,0.1259829E-02,2.890250
1995/01/13 00:00:00,0.2089592E-02,2.890250
1995/01/13 01:00:00,0.2918794E-02,2.890250
1995/01/13 02:00:00,0.3747521E-02,2.890250
1995/01/13 03:00:00,0.4575738E-02,2.890250
1995/01/13 04:00:00,0.5403441E-02,2.890250
1995/01/13 05:00:00,0.6230629E-02,2.890250
1995/01/13 06:00:00,0.7057299E-02,2.890250
1995/01/13 07:00:00,0.7883449E-02,2.890250
1995/01/13 08:00:00,0.8709079E-02,2.890250
1995/01/13 09:00:00,0.9534186E-02,2.890250
1995/01/13 10:00:00,0.1800908E-02,2.890250
1995/01/13 11:00:00,0.1673626E-02,2.890250
1995/01/13 12:00:00,0.2503178E-02,2.890250
1995/01/13 13:00:00,0.3332163E-02,2.890250
1995/01/13 14:00:00,0.4160636E-02,2.890250
1995/01/13 15:00:00,0.4988598E-02,2.890250
1995/01/13 16:00:00,0.5816044E-02,2.890250
1995/01/13 17:00:00,0.6642974E-02,2.890250
1995/01/13 18:00:00,0.7469384E-02,2.890250
1995/01/13 19:00:00,0.8295275E-02,2.890250
1995/01/13 20:00:00,0.9120644E-02,2.890250
1995/01/13 21:00:00,0.9945491E-02,2.890250
1995/01/13 22:00:00,0.1255886E-02,2.890250
1995/01/13 23:00:00,0.2086041E-02,2.890250
1995/01/14 00:00:00,0.2915289E-02,2.890250
1995/01/14 01:00:00,0.3744031E-02,2.890250
1995/01/14 02:00:00,0.4572259E-02,2.890250
1995/01/14 03:00:00,0.5399974E-02,2.890250
1995/01/14 04:00:00,0.6227172E-02,2.890250
1995/01/14 05:00:00,0.7053853E-02,2.890250
1995/01/14 06:00:00,0.7880014E-02,2.890250
1995/01/14 07:00:00,0.8705655E-02,2.890250
1995/01/14 08:00:00,0.9530773E-02,2.890250
1995/01/14 09:00:00,0.1840263E-02,2.890250
1995/01/14 10:00:00,0.1667989E-02,2.890250
1995/01/14 11:00:00,0.2497556E-02,2.890250
1995/01/14 12:00:00,0.3326552E-02,2.890250
1995/01/14 13:00:00,0.4155038E-02,2.890250
1995/01/14 14:00:00,0.4983012E-02,2.890250
1995/01/14 15:00:00,0.5810471E-02,2.890250
1995/01/14 16:00:00,0.6637413E-02,2.890250
1995/01/14 17:00:00,0.7463836E-02,2.890250
1995/01/14 18:00:00,0.8289739E-02,2.890250
1995/01/14 19:00:00,0.9115120E-02,2.890250
1995/01/14 20:00:00,0.9939980E-02,2.890250
1995/01/14 21:00:00,0.1250180E-02,2.890250
1995/01/14 22:00:00,0.2080357E-02,2.890250
1995/01/14 23:00:00,0.2909617E-02,2.890250
1995/01/15 00:00:00,0.3738360E-02,2.890250
1995/01/15 01:00:00,0.4566845E-02,2.890250
1995/01/15 02:00:00,0.5394846E-02,2.890250
1995/01/15 03:00:00,0.6222332E-02,2.890250
1995/01/15 04:00:00,0.7049300E-02,2.890250
1995/01/15 05:00:00,0.7875749E-02,2.890250
1995/01/15 06:00:00,0.8701677E-02,2.890250
1995/01/15 07:00:00,0.9527082E-02,2.890250
1995/01/15 08:00:00,0.1840582E-02,2.890250
1995/01/15 09:00:00,0.1668816E-02,2.890250
1995/01/15 10:00:00,0.2498666E-02,2.890250
1995/01/15 11:00:00,0.3327946E-02,2.890250
1995/01/15 12:00:00,0.4156716E-02,2.890250
1995/01/15 13:00:00,0.4984973E-02,2.890250
1995/01/15 14:00:00,0.5812715E-02,2.890250
1995/01/15 15:00:00,0.6639939E-02,2.890250
1995/01/15 16:00:00,0.7466645E-02,2.890250
1995/01/15 17:00:00,0.8292831E-02,2.890250
1995/01/15 18:00:00,0.9118495E-02,2.890250
1995/01/15 19:00:00,0.9943636E-02,2.890250
1995/01/15 20:00:00,0.1255904E-02,2.890250
1995/01/15 21:00:00,0.2086352E-02,2.890250
1995/01/15 22:00:00,0.2915893E-02,2.890250
1995/01/15 23:00:00,0.3744916E-02,2.890250
1995/01/16 00:00:00,0.4573428E-02,2.890250
1995/01/16 01:00:00,0.5402081E-02,2.890250
1995/01/16 02:00:00,0.6230304E-02,2.890250
1995/01/16 03:00:00,0.7058012E-02,2.890250
1995/01/16 04:00:00,0.7885199E-02,2.890250
1995/01/16 05:00:00,0.8711864E-02,2.890250
1995/01/16 06:00:00,0.9538007E-02,2.890250
1995/01/16 07:00:00,0.1761705E-02,2.890250
1995/01/16 08:00:00,0.1678992E-02,2.890250
1995/01/16 09:00:00,0.2509578E-02,2.890250
1995/01/16 10:00:00,0.3339596E-02,2.890250
1995/01/16 11:00:00,0.4169102E-02,2.890250
1995/01/16 12:00:00,0.4998095E-02,2.890250
1995/01/16 13:00:00,0.5826573E-02,2.890250
1995/01/16 14:00:00,0.6654534E-02,2.890250
1995/01/16 15:00:00,0.7481975E-02,2.890250
1995/01/16 16:00:00,0.8308894E-02,2.890250
1995/01/16 17:00:00,0.9135292E-02,2.890250
1995/01/16 18:00:00,0.9961167E-02,2.890250
1995/01/16 19:00:00,0.1270744E-02,2.890250
1995/01/16 20:00:00,0.2101901E-02,2.890250
1995/01/16 21:00:00,0.2932176E-02,2.890250
1995/01/16 22:00:00,0.3761933E-02,2.890250
1995/01/16 23:00:00,0.4591179E-02,2.890250
1995/01/17 00:00:00,0.5419910E-02,2.890250
1995/01/17 01:00:00,0.6248539E-02,2.890250
1995/01/17 02:00:00,0.7076702E-02,2.890250
1995/01/17 03:00:00,0.7904346E-02,2.890250
1995/01/17 04:00:00,0.8731468E-02,2.890250
1995/01/17 05:00:00,0.9558067E-02,2.890250
1995/01/17 06:00:00,0.1616161E-02,2.890250
1995/01/17 07:00:00,0.1699963E-02,2.890250
1995/01/17 08:00:00,0.2530999E-02,2.890250
1995/01/17 09:00:00,0.3361473E-02,2.890250
1995/01/17 10:00:00,0.4191434E-02,2.890250
1995/01/17 11:00:00,0.5020883E-02,2.890250
1995/01/17 12:00:00,0.5849815E-02,2.890250
1995/01/17 13:00:00,0.6678230E-02,2.890250
1995/01/17 14:00:00,0.7506124E-02,2.890250
1995/01/17 15:00:00,0.8333498E-02,2.890250
1995/01/17 16:00:00,0.9160348E-02,2.890250
1995/01/17 17:00:00,0.9986675E-02,2.890250
1995/01/17 18:00:00,0.1301377E-02,2.890250
1995/01/17 19:00:00,0.2132936E-02,2.890250
1995/01/17 20:00:00,0.2963660E-02,2.890250
1995/01/17 21:00:00,0.3793867E-02,2.890250
1995/01/17 22:00:00,0.4623561E-02,2.890250
1995/01/17 23:00:00,0.5452741E-02,2.890250
1995/01/18 00:00:00,0.6281404E-02,2.890250
1995/01/18 01:00:00,0.7110043E-02,2.890250
1995/01/18 02:00:00,0.7938228E-02,2.890250
1995/01/18 03:00:00,0.8765890E-02,2.890250
1995/01/18 04:00:00,0.9593030E-02,2.890250
1995/01/18 05:00:00,0.1392390E-02,2.890250
1995/01/18 06:00:00,0.1734894E-02,2.890250
1995/01/18 07:00:00,0.2566463E-02,2.890250
1995/01/18 08:00:00,0.3397477E-02,2.890250
1995/01/18 09:00:00,0.4227980E-02,2.890250
1995/01/18 10:00:00,0.5057968E-02,2.890250
1995/01/18 11:00:00,0.5887439E-02,2.890250
1995/01/18 12:00:00,0.6716393E-02,2.890250
1995/01/18 13:00:00,0.7544826E-02,2.890250
1995/01/18 14:00:00,0.8372737E-02,2.890250
1995/01/18 15:00:00,0.9200125E-02,2.890250
1995/01/18 16:00:00,0.1002699E-01,2.890250
1995/01/18 17:00:00,0.1341081E-02,2.890250
1995/01/18 18:00:00,0.2173123E-02,2.890250
1995/01/18 19:00:00,0.3004384E-02,2.890250
1995/01/18 20:00:00,0.3835128E-02,2.890250
1995/01/18 21:00:00,0.4665360E-02,2.890250
1995/01/18 22:00:00,0.5495076E-02,2.890250
1995/01/18 23:00:00,0.6324275E-02,2.890250
1995/01/19 00:00:00,0.7152955E-02,2.890250
1995/01/19 01:00:00,0.7981445E-02,2.890250
1995/01/19 02:00:00,0.8809454E-02,2.890250
1995/01/19 03:00:00,0.9636941E-02,2.890250
1995/01/19 04:00:00,0.1156882E-02,2.890250
1995/01/19 05:00:00,0.1780699E-02,2.890250
1995/01/19 06:00:00,0.2612607E-02,2.890250
1995/01/19 07:00:00,0.3443968E-02,2.890250
1995/01/19 08:00:00,0.4274816E-02,2.890250
1995/01/19 09:00:00,0.5105150E-02,2.890250
1995/01/19 10:00:00,0.5934968E-02,2.890250
1995/01/19 11:00:00,0.6764266E-02,2.890250
1995/01/19 12:00:00,0.7593044E-02,2.890250
1995/01/19 13:00:00,0.8421300E-02,2.890250
1995/01/19 14:00:00,0.9249032E-02,2.890250
1995/01/19 15:00:00,0.1007624E-01,2.890250
1995/01/19 16:00:00,0.1391761E-02,2.890250
1995/01/19 17:00:00,0.2224091E-02,2.890250
1995/01/19 18:00:00,0.3055694E-02,2.890250
1995/01/19 19:00:00,0.3886782E-02,2.890250
1995/01/19 20:00:00,0.4717357E-02,2.890250
1995/01/19 21:00:00,0.5547415E-02,2.890250
1995/01/19 22:00:00,0.6376957E-02,2.890250
1995/01/19 23:00:00,0.7205978E-02,2.890250
1995/01/20 00:00:00,0.8034478E-02,2.890250
1995/01/20 01:00:00,0.8862708E-02,2.890250
1995/01/20 02:00:00,0.9690444E-02,2.890250
1995/01/20 03:00:00,0.1001296E-02,2.890250
1995/01/20 04:00:00,0.1835291E-02,2.890250
1995/01/20 05:00:00,0.2667441E-02,2.890250
1995/01/20 06:00:00,0.3499052E-02,2.890250
1995/01/20 07:00:00,0.4330151E-02,2.890250
1995/01/20 08:00:00,0.5160735E-02,2.890250
1995/01/20 09:00:00,0.5990802E-02,2.890250
1995/01/20 10:00:00,0.6820349E-02,2.890250
1995/01/20 11:00:00,0.7649377E-02,2.890250
1995/01/20 12:00:00,0.8477881E-02,2.890250
1995/01/20 13:00:00,0.9305862E-02,2.890250
1995/01/20 14:00:00,0.7146688E-02,2.890250
1995/01/20 15:00:00,0.1446361E-02,2.890250
1995/01/20 16:00:00,0.2278893E-02,2.890250
1995/01/20 17:00:00,0.3110746E-02,2.890250
1995/01/20 18:00:00,0.3942084E-02,2.890250
1995/01/20 19:00:00,0.4772909E-02,2.890250
1995/01/20 20:00:00,0.5603218E-02,2.890250
1995/01/20 21:00:00,0.6433008E-02,2.890250
1995/01/20 22:00:00,0.7262279E-02,2.890250
1995/01/20 23:00:00,0.8091027E-02,2.890250
1995/01/21 00:00:00,0.8919253E-02,2.890250
