parameter,Total area (m2)
time,1_2,3_4
1995/01/01 00:00:00,0.7500000,0.7500000
1995/01/01 01:00:00,0.2344329E-02,2.802612
1995/01/01 02:00:00,0.2164087E-02,2.895677
1995/01/01 03:00:00,0.2160197E-02,2.912866
1995/01/01 04:00:00,0.2160111E-02,2.916760
1995/01/01 05:00:00,0.2160109E-02,2.917350
1995/01/01 06:00:00,0.2160109E-02,2.917446
1995/01/01 07:00:00,0.2160109E-02,2.917465
1995/01/01 08:00:00,0.2160109E-02,2.917470
1995/01/01 09:00:00,0.2160109E-02,2.917471
1995/01/01 10:00:00,0.2160109E-02,2.917471
1995/01/01 11:00:00,0.2160109E-02,2.917471
1995/01/01 12:00:00,0.2160109E-02,2.917471
1995/01/01 13:00:00,0.2160109E-02,2.917471
1995/01/01 14:00:00,0.2160109E-02,2.917471
1995/01/01 15:00:00,0.2160109E-02,2.917471
1995/01/01 16:00:00,0.2160109E-02,2.917471
1995/01/01 17:00:00,0.2160109E-02,2.917471
1995/01/01 18:00:00,0.2160109E-02,2.917471
1995/01/01 19:00:00,0.2160109E-02,2.917471
1995/01/01 20:00:00,0.2160109E-02,2.917471
1995/01/01 21:00:00,0.2160109E-02,2.917471
1995/01/01 22:00:00,0.2160109E-02,2.917471
1995/01/01 23:00:00,0.2160109E-02,2.917471
1995/01/02 00:00:00,0.2160109E-02,2.917471
1995/01/02 01:00:00,0.1730109E-02,2.917254
1995/01/02 02:00:00,0.2517155E-02,2.917203
1995/01/02 03:00:00,0.3289623E-02,2.917191
1995/01/02 04:00:00,0.4061292E-02,2.917188
1995/01/02 05:00:00,0.4832478E-02,2.917187
1995/01/02 06:00:00,0.5603186E-02,2.917187
1995/01/02 07:00:00,0.6373413E-02,2.917187
1995/01/02 08:00:00,0.7143159E-02,2.917187
1995/01/02 09:00:00,0.7912421E-02,2.917187
1995/01/02 10:00:00,0.8681198E-02,2.917187
1995/01/02 11:00:00,0.9449489E-02,2.917187
1995/01/02 12:00:00,0.3368846E-02,2.917187
1995/01/02 13:00:00,0.1515537E-02,2.917187
1995/01/02 14:00:00,0.2288392E-02,2.917187
1995/01/02 15:00:00,0.3060667E-02,2.917187
1995/01/02 16:00:00,0.3832469E-02,2.917187
1995/01/02 17:00:00,0.4603796E-02,2.917187
1995/01/02 18:00:00,0.5374646E-02,2.917187
1995/01/02 19:00:00,0.6145016E-02,2.917187
1995/01/02 20:00:00,0.6914905E-02,2.917187
1995/01/02 21:00:00,0.7684310E-02,2.917187
1995/01/02 22:00:00,0.8453231E-02,2.917187
1995/01/02 23:00:00,0.9221667E-02,2.917187
1995/01/03 00:00:00,0.9989616E-02,2.917187
1995/01/03 01:00:00,0.1275764E-02,2.933858
1995/01/03 02:00:00,0.2050814E-02,2.967408
1995/01/03 03:00:00,0.2824923E-02,3.006776
1995/01/03 04:00:00,0.3598593E-02,3.050092
1995/01/03 05:00:00,0.4371070E-02,3.095865
1995/01/03 06:00:00,0.5143808E-02,3.147398
1995/01/03 07:00:00,0.5916054E-02,3.203256
1995/01/03 08:00:00,0.6687823E-02,3.263556
1995/01/03 09:00:00,0.7459116E-02,3.328379
1995/01/03 10:00:00,0.7089931E-01,3.398518
1995/01/03 11:00:00,0.4582606,3.531992
1995/01/03 12:00:00,1.109484,3.850987
1995/01/03 13:00:00,1.122288,4.211361
